email,programRole,enrollmentStatus,participantType
1jin-soo.kim@mailinator.com,EXECUTIVE,,FULL_TIME
1madison.henry@mailinator.com,PROGRAM_MANAGER,,FULL_TIME
1avery.lee@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
1youseff.marrak@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
1zeb.rowen@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
1jordan.ortiz@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
1gary.gunnison@mailinator.com,HIRING_MANAGER,,FULL_TIME
1alexis.torres@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
1xiu.ying@mailinator.com,SUPPORTER,ENROLLED,FULL_TIME
1rajesh.kumar@mailinator.com,SUPPORTER,ENROLLED,FULL_TIME
2jin-soo.kim@mailinator.com,EXECUTIVE,,FULL_TIME
2madison.henry@mailinator.com,PROGRAM_MANAGER,,FULL_TIME
2avery.lee@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
2youseff.marrak@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
2zeb.rowen@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
2jordan.ortiz@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
2gary.gunnison@mailinator.com,HIRING_MANAGER,,FULL_TIME
2alexis.torres@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
2xiu.ying@mailinator.com,SUPPORTER,ENROLLED,FULL_TIME
2rajesh.kumar@mailinator.com,SUPPORTER,ENROLLED,FULL_TIME
3jin-soo.kim@mailinator.com,EXECUTIVE,,FULL_TIME
3madison.henry@mailinator.com,PROGRAM_MANAGER,,FULL_TIME
3avery.lee@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
3youseff.marrak@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
3zeb.rowen@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
3jordan.ortiz@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
3gary.gunnison@mailinator.com,HIRING_MANAGER,,FULL_TIME
3alexis.torres@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
3xiu.ying@mailinator.com,SUPPORTER,ENROLLED,FULL_TIME
3rajesh.kumar@mailinator.com,SUPPORTER,ENROLLED,FULL_TIME
4jin-soo.kim@mailinator.com,EXECUTIVE,,FULL_TIME
4madison.henry@mailinator.com,PROGRAM_MANAGER,,FULL_TIME
4avery.lee@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
4youseff.marrak@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
4zeb.rowen@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
4jordan.ortiz@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
4gary.gunnison@mailinator.com,HIRING_MANAGER,,FULL_TIME
4alexis.torres@mailinator.com,PARTICIPANT,ENROLLED,FULL_TIME
4xiu.ying@mailinator.com,SUPPORTER,ENROLLED,FULL_TIME
4rajesh.kumar@mailinator.com,SUPPORTER,ENROLLED,FULL_TIME
